id,turn_number,generated_response
266,10,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
322,6,I thought it was very sad what happened to the victims. You
323,7,yes I agree i think there efforts are helping some but news like the brutal rape is scary
324,8,"Hey there, this article is pretty morbid. It really hits home for me though since I've dealt with this subject before."
325,9,I thought it was very sad what happened to the victims. You
326,10,"Hey there, this article is pretty morbid. It really hits home for me though since I've dealt with this subject before."
354,6,The article was very sad. What did you think abotu it?
355,7,The article was very sad. What did you think abotu it?
356,8,The article was very sad. What did you think abotu it?
357,9,"I found the article to be very sad, and anger-inducing. How about you?"
358,10,what did you think about the article? I thought the cop was wrong in this.
386,6,I thought it was very sad what happened to the victims. You
387,7,The article was very sad. What did you think abotu it?
388,8,The article was very sad. What did you think abotu it?
389,9,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
390,10,"man, that was more than an article. Like several mashed together, but. It really makes you empathetic, don't you think?"
428,6,Yes i just don't understand. These people hvae no remorse
429,7,i think it's pretty bad. Or at least for the father. I'm sure he would have wanted his son to live and grow up to watch his mom
430,8,"that's exactly what I'm thinking, but they made it sound like the victim was an exemplary husband, father, etc., who was suddenly taken out"
431,9,"that's exactly what I'm thinking, but they made it sound like the victim was an exemplary husband, father, etc., who was suddenly taken out"
432,10,"Yeah, it's really terrible that some of the women were impregnated by their abusers.  I don't know how the woman's relationship with the baby will develop after that."
462,6,"unfortunately, i think stories like this are all too common with children who go through the foster system."
463,7,"unfortunately, i think stories like this are all too common with children who go through the foster system."
464,8,That's so great that you can help them. It's great to hear that people are actually putting valiant efforts into changing something about the struggles. You don't hear it often. I'll definitely look up the organization. What city is it based out of?
465,9,Yes. I think that is the only way to get lasting long term and meaningful change. We have to help them help themselves
466,10,"Agreed, I'm sure he would be less likely to do that if he  had grown up in more stable conditions. It seems a lot of times the foster care system puts them in a situation that is just as bad or worse then where they wer ebefore"
500,6,What did you feel about the article?
501,7,What did you feel about the article?
502,8,astronomical. Do you have any thoughts on how the foster system could be improved?
503,9,What did you feel about the article?
504,10,what is your synopsis of the article since only your opinion matters. It may be ridiculous but that is an opinion and you can't silence it no matter how hard you want to be able to censor people who have a differing view
560,6,yes that was the best part of the article
561,7,what did you think about the article?
562,8,it is nice he changed his life around and is helping others now
563,9,What do you think about the article?
564,10,it is nice he changed his life around and is helping others now
598,6,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
599,7,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
600,8,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
601,9,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
602,10,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
632,6,What do you think about the article?
633,7,it is nice he changed his life around and is helping others now
634,8,What did you think of the article?
635,9,it is nice he changed his life around and is helping others now
636,10,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
692,6,they're killing many people in Burma mostly Muslims
693,7,they're killing many people in Burma mostly Muslims
694,8,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
695,9,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
696,10,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
730,6,What did you feel about the article?
731,7,What do you feel about the incident?
732,8,I felt very disturbed while reading the article about the family situations.
733,9,"It reminds me of the recent killings where he killed his wife who was pregnant and 2 children but he claimed they went missing. while it wasnt a murder suicide, its the same mind set"
734,10,"Yes I think it is sad for the kids, too.  innocents.  they kinda made it out like it was just a bunch of kids, though.  accoring to another article it was 62% med aged 33 on average"
762,6,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
763,7,I find that very depressing and sad too.  What do you attribute it to?  The article didn't touch much on the causes.
764,8,"Reading this article, I feel as a woman that I am very fortunate."
765,9,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
766,10,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
808,6,what did you think about this article
809,7,what did you think about this article
810,8,what did you think about this article
811,9,what did you think about this article
812,10,what did you think about this article
846,6,I agree especially with a family and children involved it was horrific
847,7,Yeah the girl that watched her mother die is going to need a lot of therapy I hope she gets it.
848,8,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
849,9,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
850,10,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
886,6,what did you think about this article
887,7,I agree. I like the part of the article saying that the UN needs to address the root of the problem. Lets make this countries better so people do not need or want to leave.
888,8,The article was very sad. What did you think abotu it?
889,9,yes I agree i think there efforts are helping some but news like the brutal rape is scary
890,10,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
928,6,what did you think about this article
929,7,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
930,8,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
931,9,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
932,10,I'm glad the lady was found otherwise she might have been in serious trouble out in the cold.
988,6,"Yeah totally, me too.  That impacted me the most out of the entire article.  As a mother of four, that's just the ultimate tragedy for a parent.  Im so sad for him."""
989,7,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
990,8,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
991,9,I think the same thing. I wonder if the child will ever forgive her parents
992,10,Yeah the girl that watched her mother die is going to need a lot of therapy I hope she gets it.
1029,6,I'm pretty sure that they are very aware of the dangers following the events. The real shame is that humanity in general is a very reactive instead of a proactive entity. Tragedies like this are required before any meaningful action is taken across the board.
1031,7,We need to do more to keep these endangered species afloat.
1033,8,We need to do more to keep these endangered species afloat.
1035,9,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
1037,10,For the oil spill that happened 10 years ago i think they might require that whoever has the pipe in the water create a 2nd one so that the oil spill can be fixed in 3 days instead of 3 months.... but for the tug boat incident IDK what could be prevented other than using a different fuel than diesel
1059,6,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
1061,7,"From what I understand, a lot of times these things happen because companies are just cutting to many corners involving safety and maintenance. :/"
1063,8,"From what I understand, a lot of times these things happen because companies are just cutting to many corners involving safety and maintenance. :/"
1065,9,But no shortage of laws and deterrents to keep people from forming unions that would demand equitable treatment for workers.
1077,6,That's legit a small town. Grief and suffering on an unimaginable scale. It is really sickening. I wonder if there will be better precautions in the future so this doesn't happen again.
1079,7,I agree. Shoddy maintenance or failure to fix something due to expenses I'm sure probably was involved since there were many statements that the ride was having problems most of the day. I just think it's so sad that those people have to try and move forward after losing their loved ones in such a horrible way.
1081,8,It's very sad.   I can't believe in the 21st century that people are still so slow in helping third world countries or even in the US when New Orleans was destroyed.   It makes no sense.
1083,9,I'm glad thought that the workers did all they could... it's good they tried
1085,10,yeah at least they got some clean water. That must have been a blessing
1136,6,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
1137,7,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
1138,8,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
1139,9,I think banning smoking in cars with kids is great two you?
1140,10,i do two i never thought about the impact that has on children people smoking in public
1175,6,just another reason why the article is just not a good one
1177,7,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
1179,8,hey thoughts on the article?
1181,9,hey thoughts on the article?
1183,10,what is your synopsis of the article since only your opinion matters. It may be ridiculous but that is an opinion and you can't silence it no matter how hard you want to be able to censor people who have a differing view
1246,6,"I love that, personally my father went outside to smoke and never smoked with us in the car but my friends parents did and I would feel so sick after being in there car no child should suffer through it"
1247,7,"And how about from a more political perspective?  Do you think towns, for example, should have the right to basically tell you you can't smoke anywhere in public?"
1248,8,"And how about from a more political perspective?  Do you think towns, for example, should have the right to basically tell you you can't smoke anywhere in public?"
1249,9,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
1250,10,How do you feel about the dwindling space and opportunity you have to smoke?  Do you think you should be allowed to smoke anywhere?  I think it's certainly a mixed message we send about smoking.  It's legal.... only we don't want you to do it anywhere.
1271,6,"Not only were the animals starved to death, but their bodies were stuffed and mounted under the guise of posterity for a conflict that minimally affected the aggressor in the first place. I'm so glad that there are organizations out there keeping tabs on this kind of cruelty."
1273,7,It was really sad.   Why would any human being kill a flamingo in a zoo
1275,8,"agreed... he killed an animal, for no reason, in public. Should have been a way harsher punisshment"
1277,9,It was really sad.   Why would any human being kill a flamingo in a zoo
1279,10,"Yeah, I can't even imagine what was going through the guy's head.  Although I've read that people hurting animals at the zoo isn't all that uncommon."
1330,6,that's great!  birds are fascinating creatures.  that flamingo danced on its own accord which was neat
1331,7,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
1332,8,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
1333,9,that's great!  birds are fascinating creatures.  that flamingo danced on its own accord which was neat
1334,10,that's great!  birds are fascinating creatures.  that flamingo danced on its own accord which was neat
1365,6,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
1367,7,"Or just a very sick person, the flamingo was just chilling"
1369,8,"agreed... he killed an animal, for no reason, in public. Should have been a way harsher punisshment"
1371,9,"Even though it was a horrendous act, I do not see jailing someone.   He should have had to do a lot of community service and pay a hefty fine.  Thoughts?"
1373,10,"agreed... he killed an animal, for no reason, in public. Should have been a way harsher punisshment"
1429,6,Poor flamingo was just minding it 's own business and got attacked!
1433,8,its a shame what happened to the flamingo
1435,9,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
1437,10,Poor flamingo was just minding it 's own business and got attacked!
1488,6,animals are so fragile an innocent stories like this are just so troubling
1490,8,I am a firm believer that if you do hurt animals you are either a psychopath or sociopath.    I wonder if the story was true about Pinky?
1491,9,pinky was already 19 years old thats sad
1492,10,I am a firm believer that if you do hurt animals you are either a psychopath or sociopath.    I wonder if the story was true about Pinky?
1530,6,It sounds like the people down near the river were the most affected and getting the compensation and that sounds like a poor area to me. I could be wrong but that money could go a long way.
1531,7,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
1532,8,So what did you think about the people and their situation with the water?
1533,9,You know it is possible but it could also be a man made disaster. Either way im surprised there were no precautions in place to keep the waste from getting in the river in general.
1534,10,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
1566,6,The article was very sad. What did you think abotu it?
1567,7,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
1568,8,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
1569,9,What did you feel about the article?
1570,10,Man thats sad. The water supply getting borked messes up so much stuff. I wonder what kind of pollutants were in that mining waste. I know gold miners us emercury to form an amalgam with the gold to catch it from the panning machines. I hope it isnt a ton of heavy metals/mercury in that river.
1600,6,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
1601,7,Oh yeah? I figure any step is a step in the right direction. I'm pleased to see anyone making any changes that will hopefully continue to grow and make a difference. I'm tired of us doing so much damage to the environment and the animals of this planet. They deserve the right to life as well.
1602,8,"Hi there, so I found this to be sad.  It's always so tragic reading about plastic in the ocean and how it's harming wildlife there.  What did you think?"
1603,9,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
1604,10,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
1636,6,Honestly I think it is pretty messed up that the company in charge of the mining accident aren't cleaning up the polution effectively.
1637,7,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
1638,8,What a sad situation! I think earthquakes are one of the most frightening natural disasters personally.
1639,9,Honestly I think it is pretty messed up that the company in charge of the mining accident aren't cleaning up the polution effectively.
1640,10,I think it's so terrible and horribly sad. Just another reminder of the damage we are continuing to do to the environment and the earth.
1674,6,"Yeah I feel bad for them too.  I don't know much about the whole palm oil issue, I found it a little confusing."
1675,7,I feel bad for the orangutans!  But this palm oil issue seems to be a very big one in Indonesia.
1676,8,"Yeah I feel bad for them too.  I don't know much about the whole palm oil issue, I found it a little confusing."
1677,9,"Yeah I feel bad for them too.  I don't know much about the whole palm oil issue, I found it a little confusing."
1678,10,"Yeah I feel bad for them too.  I don't know much about the whole palm oil issue, I found it a little confusing."
1695,6,I hope so. I really wish that no one would have to live like the people in that article.
1697,7,"Yeah definitely, I think we are pouring a lot of resources into preventing them.  Plus did they cause that many people to die?  I know there were some deaths but I didn't think it was on quite as grand of a scale."
1699,8,"Yeah definitely, I think we are pouring a lot of resources into preventing them.  Plus did they cause that many people to die?  I know there were some deaths but I didn't think it was on quite as grand of a scale."
1701,9,The article was very sad. What did you think abotu it?
1703,10,While I was reading the article I started thinking that the Indonesian government must be getting some sort of financial incentive to ignore the destruction.
1720,6,"Hello, This article is so sad. I can not believe they allow this animal to be stuck in a cage all day"
1721,7,"Yeah, I can't even imagine what was going through the guy's head.  Although I've read that people hurting animals at the zoo isn't all that uncommon."
1722,8,yeah that's terrible!  poor girl.  Elephants are intelligent and sensitive too
1723,9,"I don't know. Zoos are already kinda questionable ethically, but I for sure think you shouldn't have one if you can't take care of it. It seems like the animals should be moved elsewhere."
1724,10,"Yes, that was part of what made it so heartbreaking. They were obviously very invested in doing all they could for her. I wish I knew if that was some sanctuary or organization that is trying to help rhinos so that money could be raised to improve conditions so that perhaps they could save more babies."
1754,6,I think it is sad as well... Poor elephants
1755,7,I think it is sad as well... Poor elephants
1756,8,I think it is sad as well... Poor elephants
1757,9,yeah that's terrible!  poor girl.  Elephants are intelligent and sensitive too
1758,10,"I can think of how in the US change was created with the civil rights movement, and the women's movement when people stood together. I think that because people like us know about the story we can help by sharing this information on social media. We can be the media for them. But what can be done about the poor elephants? They have lost their homes because of the forest's being destroyed."
1782,6,Im certain some animal rights groups would be interested if they even know about it. This is the first Im hearing of the issue
1783,7,Im certain some animal rights groups would be interested if they even know about it. This is the first Im hearing of the issue
1784,8,"I can think of how in the US change was created with the civil rights movement, and the women's movement when people stood together. I think that because people like us know about the story we can help by sharing this information on social media. We can be the media for them. But what can be done about the poor elephants? They have lost their homes because of the forest's being destroyed."
1785,9,"I can think of how in the US change was created with the civil rights movement, and the women's movement when people stood together. I think that because people like us know about the story we can help by sharing this information on social media. We can be the media for them. But what can be done about the poor elephants? They have lost their homes because of the forest's being destroyed."
1786,10,Im certain some animal rights groups would be interested if they even know about it. This is the first Im hearing of the issue
1847,6,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1849,7,Hi there - I was very surprised to find out that China allowed women to become pilots at all
1851,8,What do you think about the article?
1853,9,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1855,10,"I felt like the article was trying to say how bad the US is though that they have moved down in gender pay equality. I feel like if people really looked at how other cultures are, they would appreciate how good we really have it in the US."
1890,6,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
1891,7,It sucks that she trained all this time to be a pilot jsut to get killed.
1892,8,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1893,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
1894,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
1924,6,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1925,7,It sucks that she trained all this time to be a pilot jsut to get killed.
1926,8,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1927,9,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1928,10,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
1962,6,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
1963,7,"yeah it really is very, very sad"
1964,8,I think it was terrible that there were so many fatalities following this airstrike.
1965,9,I think it was terrible that there were so many fatalities following this airstrike.
1966,10,"Her name was Yu Xu. There are lots of articles available online concerning the accident and even videos on YouTube. I think that the story id probably true, but I think the cause of the accident is suspect. Maybe flaws in aviation technology that would make Chinese engineers lose face."
1995,6,what did you think about this article
1996,7,what did you think about this article
1997,8,what did you think about this article
1998,9,what did you think about this article
1999,10,what did you think about this article
2027,6,"Hard to think about this situation for sure. We cannot really assume how high the window was or how intelligent the child is though. This is for the parents to do. Which brings me back to my point, if you know your kid has the ability to engage in such a behavior, take precautions. My little brother burnt our house down when he was 4. My parents always had child proof lighters after that. There are a ton of examples that can be used but it always comes back to the parents."
2028,7,"I'm not sure if it was in the article, but i hope no children were harmed!"
2029,8,"I feel that it is a dad's job to protect his children and never to harm them. I feel sorry for all the things going on in their house, but that is no excuse for what he did."
2030,9,I really hope that the father gets the support he needs. It is unimaginable the amount of grief he must be going through.
2031,10,"I feel that it is a dad's job to protect his children and never to harm them. I feel sorry for all the things going on in their house, but that is no excuse for what he did."
2068,6,what did you think about this article
2070,7,what did you think about this article
2072,8,what did you think about this article
2074,9,what did you think about this article
2076,10,what did you think about this article
2131,6,what did you think about this article
2132,7,what did you think about this article
2133,8,what did you think about this article
2134,9,what did you think about this article
2135,10,what did you think about this article
2181,6,yes that was the best part of the article
2183,7,"Hello, what did you think about the article?"
2185,8,What do you think about the article?
2187,9,what did you think about this article
2189,10,I think it's about time and I'm very glad the movement has so much traction!
2245,6,"Hello, what did you think about the article?"
2247,7,The article was very sad. What did you think abotu it?
2249,8,How did you feel about the article?
2251,9,How did you feel about the article?
2253,10,"Yeah, it wasn't hard.  Any other thoughts on this article?  Do you think our democracy is being threatened by a Presidential election?"
2322,6,"So, I think the lesson here is that there really needs to be some counseling available for recovering governments - as crazy as that sounds - a not-for-profit that can help a sincere government regain control after something like the Boko Haram issue"
2323,7,I have no idea. All those homes lost. People must be heartbroken
2324,8,"I don;t know about that-but what we can do is to help them rebuild their own, because right now our own country cannot take on any more burden-we have so many issues with our own poor and homeless and the economy!"
2325,9,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
2326,10,I hate everything about ISIS..i really hope they can be totally eliminated...You?
2364,6,Just shows that we're not really improving as humans. Well it was nice talking to you! bye
2365,7,"Yeah me too.  Probably one of the two worst articles I've read on here.  Well I hope you have a good rest of your day, it's been good talking to you.  goodbye"
2366,8,It was sad.   It seems all these articles are so very sad.
2367,9,This was very sad.  55 civilians killed?  that's crazy.
2368,10,"Well yeah, 30 civilians died.  I think it was very sad.  These people are caught up in this ridiculous conflict."
2387,6,what did you think about the article?
2389,7,What did you think of the article?
2391,8,One last thing. Do you think the article will make you talk about this with others more?
2393,9,what did you think about this article
2395,10,I totally agreethe news likes to make everyone scared of eachother but I think most people want to help others
2470,6,Agreed... and think of all the people that saw the even happen. I bet they are traumatized.
2471,7,How do you feel about these people being displaced by extreme violence and perishing despite the fact that they made it out alive?
2472,8,Yeah the impact it could have on the villagers is also incredibly scary. It seems like no matter what they are at risk of being harmed to get rid of the militants but as long as an effort is being made to free them.
2473,9,Yeah the impact it could have on the villagers is also incredibly scary. It seems like no matter what they are at risk of being harmed to get rid of the militants but as long as an effort is being made to free them.
2474,10,It is so sad...we really need more empathy for refugees.
2484,6,"I wish they would. I mean taking the article into consideration again, even if you forget the killing the damage done in the name of religion needs to be addressed. Both sides need to do more to remember peace, tolerance and acceptance is better than violence and hatred."
2485,7,what did you think about this article
2486,8,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
2487,9,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
2488,10,"I felt pretty bad reading it, with all the issues going on in the country right now i had never even though of how bad things must be for Muslims living in America"
2526,6,Yeah it was sad to read. I hope the families of the lost ones will be able to live a happy life in the future
2527,7,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
2528,8,I thought the article detailed the atrocities in Aleppo quite well.
2529,9,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
2530,10,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
2553,6,"Yes exactly my thoughts!!  I feel bad for them too, but who is supposed to be funding their care"
2555,7,"I don;t know about that-but what we can do is to help them rebuild their own, because right now our own country cannot take on any more burden-we have so many issues with our own poor and homeless and the economy!"
2557,8,"Yes exactly my thoughts!!  I feel bad for them too, but who is supposed to be funding their care"
2559,9,this reminds me of a podcast i watched where companies say theyre doing good by for example donating a pair of sneakers to people in africa who are poverty striken. to the outside world this looks great and feels like it is a good deed. But many people in poverty in africa do not wear shoes. they don't need sneakers. they need clean water and seeds to prossper. This is similair to how with war we think killing everyone is going to solve the problem but it won't. it's a facade to look like were doing something good when it is actually not helping at all.
2561,10,"Yes exactly my thoughts!!  I feel bad for them too, but who is supposed to be funding their care"
2610,6,what did you think about this article
2611,7,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
2612,8,The article was very sad. What did you think abotu it?
2613,9,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
2614,10,"I wish they would. I mean taking the article into consideration again, even if you forget the killing the damage done in the name of religion needs to be addressed. Both sides need to do more to remember peace, tolerance and acceptance is better than violence and hatred."
2649,6,Yeah it definetely felt like the article just wanted you to just to the conclusions on your own. I'm guessing the poachers were members of the community and that caused the mob. I wonder how the poahcer even got away from them in the first place.
